Game Name,Cost,Prize,Overall Odds,Game Number,Game Description,Status
200X the Win,$20,"$20 to $500,000",1 in 2.98,779,"Match any of YOUR NUMBERS to any of the WINNING NUMBERS, win PRIZE shown. If a MULTIPLIER is present, multiply your PRIZE won by the MULTIPLIER shown below that PRIZE. Get a ""MONEYSTACK"" symbol, win $200 instantly!",ACTIVE
Burning Hot 7s,$2,"$2 to $20,000",1 in 4.00,780,"HOT SPOTS: Get a ""FLAME"" symbol in either HOT SPOT, win PRIZE shown for that HOT SPOT.",ACTIVE
Yahtzee™ Squared,$3,"$3 to $75,000",1 in 3.70,781,"Scratch entire PLAY AREA. Match any ROLL to any of the WINNING COMBINATIONS, win prize shown for that combination. Each ROLL is played separately.",ACTIVE
"$100,000 Payout",$5,"$5 to $100,000",1 in 3.70,782,"Match any of YOUR NUMBERS to any of the WINNING NUMBERs, win prize shown. Get a ""2X"" symbol, win 2 TIMES the prize shown. Get a ""5X"" symbol, win 5 TIMES the prize shown!",ACTIVE
"$300,000 Large",$10,"$10 to $300,000",1 in 3.06,784,"Match any of YOUR NUMBERS to any of the WINNING NUMBERS, win prize shown. Get a ""COIN"" symbol, win $50 instantly. Get a ""MONEYBAG"" symbol, win $100 instantly. Get a ""5X"" symbol, win 5 TIMES the prize shown. Get a ""10X"" symbol, win 10 TIMES the prize shown automatically!",ACTIVE
Triple Cash Payout,$10,"$10 to $200,000",1 in 3.03,783,"Match any of YOUR NUMBERS to any of the WINNING NUMBERS, win prize shown. Get a ""STAR"" symbol, win prize shown automatically. Get a ""DOUBLE MONEYBAG"" symbol, win DOUBLE the prize shown! Get a ""TRIPLE MONEYBAG"" symbol, win TRIPLE the prize shown!",ACTIVE
Ca$h Pong,$1,"$1 to $5,000",1 in 4.68,785,"Get a ""BALL"" symbol, win prize shown. Get a ""MONEYBAG"" symbol, win TRIPLE the prize shown instantly!",ACTIVE
3 Ways to Win!,$2,"$2 to $20,000",1 in 4.09,786,"Way 1: Match any of YOUR NUMBERS to either of the WINNING NUMBERS, win prize shown.",ACTIVE
10X® the Win,$1,"$1 to $5,000",1 in 4.87,775,"Match any of YOUR NUMBERS to the WINNING NUMBER, win PRIZE shown. If a MULTIPLIER is present, multiply your PRIZE won by the MULTIPLIER shown below that PRIZE. Get a ""MONEYSTACK"" symbol, win $10 instantly!",ACTIVE
20X the Win,$2,"$2 to $25,000",1 in 4.25,776,"Match any of YOUR NUMBERS to either WINNING NUMBER, win PRIZE shown. If a MULTIPLIER is present, multiply your PRIZE won by the MULTIPLIER shown below that PRIZE. Get a ""MONEYSTACK"" symbol, win $20 instantly!",ACTIVE
